fid,name,type,addr1,addr2,lon,lat,tel,city,gugun,create_date,erdsgn
110,(취약시설)성북청소년센터수영장,수영장,서울특별시 성북구 장위동 135-2 성북청소년수련관,,127.0557322,37.61763856,,서울특별시,,20020101,N
111,(취약시설)수성구민운동장,축구장,수성구 범어동 356,,128.6298407,35.85028409,,대구광역시,수성구,19920824,N
112,(취약시설)요천야구장,야구장,전북 남원시 주생면 중동리 1009-43,,127.3446638,35.38424194,,전북특별자치도,남원시,20141129,N
113,(취약시설)우슬국민체육센터(구: 우슬국민체육센터수영장),수영장,전라남도 해남군 해남읍 해리 2,,126.6232509,34.56849442,,전라남도,해남군,20080630,N
114,(취약시설)우슬체육관,구기체육관,전라남도 해남군 해남읍 신안길 2-21,,126.6071129,34.56317913,,전라남도,해남군,19930310,N
115,(취약시설)의왕국민체육센터(구: 의왕시국민체육센터수영장),수영장,경기도 의왕시 내손동  626 의왕국민체육센터,,126.9751638,37.38203538,,경기도,의왕시,20021221,N
116,(취약시설)의왕시국민체육센터,생활체육관,경기도 의왕시 내손동  626 의왕국민체육센터,,126.9751638,37.38203538,,경기도,의왕시,20021221,N
117,(취약시설)의왕청소년수련관체육관,구기체육관,경기도 의왕시 고천동 100-1 꿈누리청소년수련관,,126.9719405,37.34179478,,경기도,의왕시,20061207,N
118,(취약시설)인천서구국민체육센터(구: 서구국민체육센터체육관),생활체육관,인천광역시 서구 검암동 496 서구국민체육센터,,126.6779215,37.56623724,,인천광역시,서구,20081003,N
119,(취약시설)일자산제1체육관,생활체육관,서울특별시 강동구 동남로 660 (둔촌동),일자산제1체육관,127.1513579,37.53301918,,서울특별시,강동구,20080322,N
120,(취약시설)제천전천후게이트볼장,전천후게이트볼장,충청북도 제천시 청전동  482-18,,128.2003614,37.14576835,,충청북도,제천시,20041201,N
121,(취약시설)축구국가대표트레이닝센터,축구장,경기 파주시 탄현면 성동리 685,,126.6840484,37.77451272,,경기도,파주시,20030909,N
122,(취약시설)평생학습관 수영장,수영장,경기도 의왕시 오전동  852 의왕시여성회관,,126.9754572,37.35505511,,경기도,의왕시,20000616,N
123,(취약시설)하동체육관,구기체육관,경상남도 하동군 적량면 공설운동장로 207,,127.7785253,35.06343843,,경상남도,하동군,20000101,N
124,(테니스장-04) 서창운동장,테니스장,경상남도 양산시 삼호동 157,,129.1822946,35.41161583,055-379-8574,경상남도,양산시,19000101,N
125,(테니스장-07) 하북지산,테니스장,경상남도 양산시 하북면 지산리 46-1 지내마을회관,,129.0801489,35.49982749,055-392-7253,경상남도,양산시,19000101,N
126,(테니스장-10) 삽량체육공원 테니스장,테니스장,경상남도 양산시 동면 내송리 산70-8,삽량체육공원 테니스장,129.0598804,35.32531616,055-392-7104,경상남도,양산시,20201201,N
127,(평창)청성골프타운(임대),골프연습장,강원특별자치도 평창군 평창읍 후평리 365,,128.3855552,37.37736263,033-330-2082,강원특별자치도,평창군,20011107,N
128,01. 양지마을회관 앞 공터,간이운동장,경상북도 경주시 양남면 상계리 160-2,,129.4233824,35.67024172,054-779-8172,경상북도,경주시,19991201,N
129,02. 나아마을회관 옆 공터,간이운동장,경상북도 경주시 양남면 나아리 483 나아리마을회관경로당청년회,,129.4696846,35.70069857,054-779-8172,경상북도,경주시,20090101,N
130,03. 하서1리 당수나무 옆 공터,간이운동장,경북 경주시 양남면 하서리 620-1,,129.463204,35.67604855,054-779-8172,경상북도,경주시,20150801,N
131,04. 나산마을 경로당,간이운동장,경상북도 경주시 양남면 나산리 205 나산마을회관,,129.4592082,35.70949974,054-779-8172,경상북도,경주시,20150801,N
132,05. 월아 경로당,간이운동장,경상북도 경주시 양남면 하서리 794,,129.4586531,35.67684144,054-779-8172,경상북도,경주시,20150801,N
133,06. 하서3리 경로당,간이운동장,경상북도 경주시 양남면 하서리 666-2,,129.4619134,35.67323911,054-779-8172,경상북도,경주시,20150801,N
134,07. 달바다펜션 앞 공터,간이운동장,경상북도 경주시 양남면 하서리 70-1,,129.467446,35.67992547,054-779-8172,경상북도,경주시,20160801,N
135,08. 웃나마을 경로당,간이운동장,경상북도 경주시 양남면 상라리 155 상라리노인정,,129.4439551,35.73154278,054-779-8172,경상북도,경주시,20160801,N
136,09. 자붓마을 경로당,간이운동장,경상북도 경주시 양남면 상라리 212-1 상라리마을회관,,129.4380533,35.73939308,054-779-8172,경상북도,경주시,20160801,N
137,1-1. 옥정중앙공원(인공호수 소녀의상 앞),간이운동장,경기도 양주시 옥정동 1035-1,(인공호구 소녀의상 앞),127.0950189,37.82214334,031-8082-7316,경기도,양주시,19990101,N
138,1-2. 옥정중앙공원(무궁화동산 아래),간이운동장,경기 양주시 옥정동 1039,(잔디광장 무궁화동산 아래쪽),127.0975083,37.82438486,031-8082-7316,경기도,양주시,19990101,N
139,1-2생활권(아름동)스포츠센터수영장,수영장,세종특별자치시  아름동  1324 스포츠센터,,127.2457102,36.51223994,,세종특별자치시,세종시,20161107,N
140,1-2생활권복합커뮤니티센터스포츠센터,생활체육관,세종특별자치시  아름동  1324 스포츠센터,,127.2457102,36.51223994,,세종특별자치시,세종시,20161107,N
141,1-5생활권복합커뮤니티센터,생활체육관,세종특별자치시  다솜1로 31 (어진동),,127.2566163,36.50190416,044-301-6219,세종특별자치시,세종시,20130828,Y
142,1. 광명동 경로당 공터,간이운동장,경상북도 경주시 광명동 135-7,,129.1510775,35.81947103,054-779-8422,경상북도,경주시,20141125,N
143,1. 옥정중앙공원(하류),간이운동장,경기도 양주시 옥정동 1035-1,(인공호수 하류쪽),127.0950189,37.82214334,031-8082-7316,경기도,양주시,19990101,N
144,1.검바골공원,간이운동장,경기도 고양시 일산동구 백석동 1156,,126.7911069,37.64863305,031-8075-6262,경기도,고양시,19990101,N
145,1.윗말어린이공원,간이운동장,경기도 고양시 일산서구 일산동 1096 신일중학교,,126.7736739,37.6772232,031-8075-7263,경기도,고양시,20101101,N
146,1.일산3동 게이트볼장,간이운동장,경기도 고양시 일산서구 일산로 592 (일산동),일산동 1052,126.7632087,37.68008578,031-8075-7443,경기도,고양시,20010401,N
147,10-1. 선돌공원(중흥e클래스센텀시티 앞),간이운동장,경기 양주시 옥정동 908,중흥e클래스 센텀시티 아파트 앞,127.0868366,37.82286483,031-8082-7316,경기도,양주시,19990101,N
148,10. 전방마을 경로당,간이운동장,경상북도 경주시 양남면 환서리 688,,129.4456669,35.69301678,054-779-8172,경상북도,경주시,20160801,N
149,10.범룡골 약수터 동네체육시설,간이운동장,탄현동 1447-3,,126.7698357,37.69996541,031-8075-7443,경기도,고양시,19941201,N
150,10.부촌공원,간이운동장,경기 고양시 일산동구 장항동 879,,126.7773234,37.64709058,031-8075-6262,경기도,고양시,20180131,N
151,10.재동길 경로당,간이운동장,경상북도 경주시 충효동 1600 재동마을회관,,129.1627411,35.84500705,054-779-8422,경상북도,경주시,20180101,N
152,11. 가온길공원(푸르지오906~907동 앞),간이운동장,경기 양주시 옥정동 955-5,푸르지오아파트 906~907동 앞,127.0902926,37.82276926,031-8082-7316,경기도,양주시,19990101,N
153,11. 구만마을 경로당,간이운동장,경상북도 경주시 양남면 환서리 449 환서2리노인정,,129.4474631,35.69884721,054-779-8172,경상북도,경주시,20160801,N
154,11.새말어린이공원,간이운동장,경기도 고양시 일산서구 웅비로12번길 5-21 (대화동),일산서구 대화동 2008,126.7577169,37.68443535,031-8075-7263,경기도,고양시,20110103,N
155,11.설촌공원,간이운동장,경기도 고양시 일산동구 마두동 874 설촌경로당,,126.7886259,37.66203522,031-8075-6262,경기도,고양시,20180131,N
156,11.외외2길 경로당,간이운동장,경상북도 경주시 효현동 570 외외마을회관,,129.1688164,35.82591312,054-779-8422,경상북도,경주시,20180101,N
157,11.황룡산 동네체육시설,간이운동장,경기도 고양시 일산서구 탄현로 100 (탄현동),탄현동 106-25,126.7710798,37.70098593,031-8075-7443,경기도,고양시,20060530,N
158,11단지(1103동 옆),간이운동장,경기도 과천시 중앙동 71번지,,126.9930844,37.44055721,,경기도,과천시,20171109,N
159,12. 규율공원-2,간이운동장,경기 양주시 옥정동 1043-4,,127.1000813,37.82676132,031-8082-7316,경기도,양주시,19990101,N
160,12. 효제마을 경로당,간이운동장,경상북도 경주시 양남면 효동리 1229 효동1리회관,,129.3920403,35.74218289,054-779-8172,경상북도,경주시,20160801,N
161,12.구산동 동네체육시설,간이운동장,구산동 413-26,,126.703115,37.69328064,031-8075-7443,경기도,고양시,20110601,N
162,12.능안공원,간이운동장,경기 고양시 일산동구 마두동 958,,126.7833053,37.65991728,031-8075-6262,경기도,고양시,20180131,N
163,12.서악동 경로당(서악3길 44),간이운동장,경상북도 경주시 서악동 658 선도동경로당,,129.1867994,35.8268331,054-779-8425,경상북도,경주시,20180101,N
164,12.토성어린이공원,간이운동장,경기도 고양시 일산서구 웅비로12번길 5-21 (대화동),일산서구 대화동 2008,126.7577169,37.68443535,031-8075-7263,경기도,고양시,20110103,N
165,13. 꼬꼬지길공원(센트럴파크 푸르지오917~918동 앞),간이운동장,경기 양주시 옥정동 955-5,샌트럴파크 푸르지오917~918동 앞,127.0902926,37.82276926,031-8082-7316,경기도,양주시,19990101,N
166,13. 송정마을 경로당,간이운동장,경상북도 경주시 양남면 환서리 127 환서1리노인정,,129.4491786,35.68952617,054-779-8172,경상북도,경주시,20160801,N
167,13.서악동 경로당(2)-능남길 2,간이운동장,경상북도 경주시 서악동 824 농남노보마을회관,,129.1871809,35.82375601,054-779-8422,경상북도,경주시,20190101,N
168,13.송포8통 서촌마을회관 동네체육시설,간이운동장,법곳동 1045-2,송포8통 서촌마을회관,126.7164967,37.67354978,031-8075-7443,경기도,고양시,20120319,N
169,13.안골공원,간이운동장,경기도 고양시 일산동구 마두동 992,,126.7784665,37.65747204,031-8075-6262,경기도,고양시,20180131,N
